fecha,ruta,numero_bus,pasajeros_subieron,pasajeros_bajaron,capacidad_maxima,hora_programada,hora_real,temperatura_exterior,dia_semana,flujo_neto,ocupacion_actual,porcentaje_ocupacion,retraso_minutos,puntualidad,periodo_dia,es_hora_pico
2025-11-10 01:32:51.022536,Ruta 1 - Centro,100,9.0,5,60,2025-11-10 01:30:00,2025-11-10 01:32:12.343521000,34.36693724653602,Monday,4.0,4.0,6.67,2.21,Retraso Leve,Madrugada,False
2025-11-10 03:42:51.022536,Ruta 3 - Sur,100,7.0,6,60,2025-11-10 03:30:00,2025-11-10 03:30:33.703263708,24.0809647708262,Monday,1.0,5.0,8.33,0.56,A Tiempo,Madrugada,False
2025-11-11 13:12:51.022536,Ruta 5 - Oeste,100,7.0,8,60,2025-11-11 13:00:00,2025-11-11 13:05:12.505068096,18.52730223820585,Tuesday,-1.0,4.0,6.67,5.21,Retraso Grave,Tarde,False
2025-11-11 17:37:51.022536,Ruta 3 - Sur,100,9.0,2,40,2025-11-11 17:30:00,2025-11-11 17:30:09.599373234,13.737888950626449,Tuesday,7.0,11.0,27.5,0.16,A Tiempo,Tarde,True
2025-11-12 00:02:51.022536,Ruta 6 - Express,100,9.0,4,40,2025-11-12 00:00:00,2025-11-12 00:00:16.792611132,23.061729545448294,Wednesday,5.0,16.0,40.0,0.28,A Tiempo,Madrugada,False
2025-11-12 04:42:51.022536,Ruta 4 - Este,100,5.0,7,60,2025-11-12 04:30:00,2025-11-12 04:30:35.266551240,23.99103844984534,Wednesday,-2.0,14.0,23.33,0.59,A Tiempo,Madrugada,False
2025-11-12 11:27:51.022536,Ruta 5 - Oeste,100,7.0,9,60,2025-11-12 11:15:00,2025-11-12 11:16:55.063200030,27.08033791404297,Wednesday,-2.0,12.0,20.0,1.92,A Tiempo,Mañana,False
2025-11-12 11:47:51.022536,Ruta 1 - Centro,100,7.0,7,40,2025-11-12 11:45:00,2025-11-12 11:47:12.462863094,27.38588280334416,Wednesday,0.0,12.0,30.0,2.21,Retraso Leve,Mañana,False
2025-11-13 18:17:51.022536,Ruta 6 - Express,100,15.0,6,40,2025-11-13 18:15:00,2025-11-13 18:16:20.601494640,24.66444306839776,Thursday,9.0,21.0,52.5,1.34,A Tiempo,Tarde,True
2025-11-14 09:47:51.022536,Ruta 6 - Express,100,13.0,12,40,2025-11-14 09:45:00,2025-11-14 09:45:16.353331818,25.182569871598773,Friday,1.0,22.0,55.0,0.27,A Tiempo,Mañana,True
2025-11-14 11:32:51.022536,Ruta 2 - Norte,100,7.0,3,40,2025-11-14 11:30:00,2025-11-14 11:33:26.681987142,24.545352499072575,Friday,4.0,26.0,65.0,3.44,Retraso Leve,Mañana,False
2025-11-14 23:57:51.022536,Ruta 1 - Centro,100,10.0,6,40,2025-11-14 23:45:00,2025-11-14 23:45:15.051514332,25.030206215941263,Friday,4.0,30.0,75.0,0.25,A Tiempo,Noche,False
2025-11-15 00:47:51.022536,Ruta 3 - Sur,100,5.0,4,60,2025-11-15 00:45:00,2025-11-15 00:45:01.611756750,14.455446961051376,Saturday,1.0,31.0,51.67,0.03,A Tiempo,Madrugada,False
2025-11-15 04:37:51.022536,Ruta 1 - Centro,100,8.0,6,50,2025-11-15 04:30:00,2025-11-15 04:31:46.114304148,22.278462537953292,Saturday,2.0,33.0,66.0,1.77,A Tiempo,Madrugada,False
2025-11-15 15:07:51.022536,Ruta 5 - Oeste,100,7.0,4,40,2025-11-15 15:00:00,2025-11-15 15:00:07.072546236,23.54820880670785,Saturday,3.0,36.0,90.0,0.12,A Tiempo,Tarde,False
2025-11-16 07:07:51.022536,Ruta 2 - Norte,100,7.0,9,60,2025-11-16 07:00:00,2025-11-16 07:00:49.878107622,28.177598260147185,Sunday,-2.0,34.0,56.67,0.83,A Tiempo,Mañana,True
2025-11-16 08:32:51.022536,Ruta 6 - Express,100,7.0,5,40,2025-11-16 08:30:00,2025-11-16 08:32:21.920678964,31.6443615538836,Sunday,2.0,36.0,90.0,2.37,Retraso Leve,Mañana,True
2025-11-16 23:22:51.022536,Ruta 4 - Este,100,8.0,7,60,2025-11-16 23:15:00,2025-11-16 23:16:23.044313496,27.849979242417863,Sunday,1.0,37.0,61.67,1.38,A Tiempo,Noche,False
2025-11-17 00:12:51.022536,Ruta 6 - Express,100,9.0,5,60,2025-11-17 00:00:00,2025-11-17 00:00:22.362555462,25.107455388757234,Monday,4.0,41.0,68.33,0.37,A Tiempo,Madrugada,False
2025-11-17 04:52:51.022536,Ruta 5 - Oeste,100,8.0,7,60,2025-11-17 04:45:00,2025-11-17 04:51:15.734076521,28.793327051312385,Monday,1.0,42.0,70.0,6.26,Retraso Grave,Madrugada,False
2025-11-17 10:52:51.022536,Ruta 1 - Centro,100,5.0,3,60,2025-11-17 10:45:00,2025-11-17 10:47:33.928225218,17.233399543076278,Monday,2.0,44.0,73.33,2.57,Retraso Leve,Mañana,False
2025-11-17 19:52:51.022536,Ruta 1 - Centro,100,3.0,5,40,2025-11-17 19:45:00,2025-11-17 19:45:39.756390942,23.67940151608337,Monday,-2.0,42.0,100.0,0.66,A Tiempo,Noche,True
2025-11-17 20:32:51.022536,Ruta 3 - Sur,100,9.0,2,50,2025-11-17 20:30:00,2025-11-17 20:33:07.381163040,19.82886214421497,Monday,7.0,49.0,98.0,3.12,Retraso Leve,Noche,False
2025-11-18 00:02:51.022536,Ruta 6 - Express,100,6.0,4,40,2025-11-18 00:00:00,2025-11-18 00:02:32.403702227,18.74252611258453,Tuesday,2.0,51.0,100.0,2.54,Retraso Leve,Madrugada,False
2025-11-18 04:37:51.022536,Ruta 2 - Norte,100,10.0,8,50,2025-11-18 04:30:00,2025-11-18 04:30:03.692455278,24.12584304677665,Tuesday,2.0,53.0,100.0,0.06,A Tiempo,Madrugada,False
2025-11-18 16:32:51.022536,Ruta 1 - Centro,100,12.0,7,50,2025-11-18 16:30:00,2025-11-18 16:37:49.326526812,23.84090576988045,Tuesday,5.0,58.0,100.0,7.82,Retraso Grave,Tarde,False
2025-11-19 03:27:51.022536,Ruta 2 - Norte,100,5.0,4,40,2025-11-19 03:15:00,2025-11-19 03:16:29.525387040,25.629960378563226,Wednesday,1.0,59.0,100.0,1.49,A Tiempo,Madrugada,False
2025-11-19 07:37:51.022536,Ruta 1 - Centro,100,3.0,6,40,2025-11-19 07:30:00,2025-11-19 07:30:38.920394268,33.56543959945321,Wednesday,-3.0,56.0,100.0,0.65,A Tiempo,Mañana,True
2025-11-20 03:52:51.022536,Ruta 6 - Express,100,7.0,4,60,2025-11-20 03:45:00,2025-11-20 03:47:53.096430000,26.343892952846023,Thursday,3.0,59.0,98.33,2.88,Retraso Leve,Madrugada,False
2025-11-20 15:47:51.022536,Ruta 4 - Este,100,7.0,4,40,2025-11-20 15:45:00,2025-11-20 15:45:26.777879580,26.693307547562835,Thursday,3.0,62.0,100.0,0.45,A Tiempo,Tarde,False
2025-11-21 00:02:51.022536,Ruta 3 - Sur,100,6.0,6,50,2025-11-21 00:00:00,2025-11-21 00:00:06.925036590,24.523680942229447,Friday,0.0,62.0,100.0,0.12,A Tiempo,Madrugada,False
2025-11-21 01:27:51.022536,Ruta 2 - Norte,100,10.0,4,40,2025-11-21 01:15:00,2025-11-21 01:22:05.614013916,32.78778549483514,Friday,6.0,68.0,100.0,7.09,Retraso Grave,Madrugada,False
2025-11-21 06:12:51.022536,Ruta 6 - Express,100,7.0,10,60,2025-11-21 06:00:00,2025-11-21 06:02:02.104487490,32.61154117897076,Friday,-3.0,65.0,100.0,2.04,Retraso Leve,Madrugada,False
2025-11-22 03:12:51.022536,Ruta 6 - Express,100,8.0,6,50,2025-11-22 03:00:00,2025-11-22 03:00:35.841703002,27.34241520818688,Saturday,2.0,67.0,100.0,0.6,A Tiempo,Madrugada,False
2025-11-22 06:17:51.022536,Ruta 4 - Este,100,8.0,4,60,2025-11-22 06:15:00,2025-11-22 06:15:55.948497546,21.67168771785241,Saturday,4.0,71.0,100.0,0.93,A Tiempo,Madrugada,False
2025-11-22 13:22:51.022536,Ruta 3 - Sur,100,3.0,3,40,2025-11-22 13:15:00,2025-11-22 13:16:08.516742882,17.662305923500476,Saturday,0.0,71.0,100.0,1.14,A Tiempo,Tarde,False
2025-11-22 15:32:51.022536,Ruta 1 - Centro,100,9.0,5,60,2025-11-22 15:30:00,2025-11-22 15:31:01.038194844,26.247706763330036,Saturday,4.0,75.0,100.0,1.02,A Tiempo,Tarde,False
2025-11-22 20:52:51.022536,Ruta 5 - Oeste,100,9.0,1,40,2025-11-22 20:45:00,2025-11-22 20:46:26.963764764,27.39098285831162,Saturday,8.0,83.0,100.0,1.45,A Tiempo,Noche,False
2025-11-24 00:27:51.022536,Ruta 4 - Este,100,9.0,9,60,2025-11-24 00:15:00,2025-11-24 00:17:31.651989978,19.25896378979004,Monday,0.0,83.0,100.0,2.53,Retraso Leve,Madrugada,False
2025-11-24 10:07:51.022536,Ruta 2 - Norte,100,7.0,7,40,2025-11-24 10:00:00,2025-11-24 10:00:20.208236016,24.23366096174686,Monday,0.0,83.0,100.0,0.34,A Tiempo,Mañana,False
2025-11-24 22:32:51.022536,Ruta 5 - Oeste,100,13.0,10,60,2025-11-24 22:30:00,2025-11-24 22:30:27.455502102,14.736489660290196,Monday,3.0,86.0,100.0,0.46,A Tiempo,Noche,False
2025-11-25 21:47:51.022536,Ruta 6 - Express,100,13.0,1,40,2025-11-25 21:45:00,2025-11-25 21:51:32.695019718,28.93761864216693,Tuesday,12.0,98.0,100.0,6.54,Retraso Grave,Noche,False
2025-11-26 04:52:51.022536,Ruta 3 - Sur,100,7.0,12,50,2025-11-26 04:45:00,2025-11-26 04:46:01.175702910,28.43555137782972,Wednesday,-5.0,93.0,100.0,1.02,A Tiempo,Madrugada,False
2025-11-26 23:37:51.022536,Ruta 5 - Oeste,100,7.0,4,40,2025-11-26 23:30:00,2025-11-26 23:35:51.353083560,25.2787952351981,Wednesday,3.0,96.0,100.0,5.86,Retraso Grave,Noche,False
2025-11-09 18:32:51.022536,Ruta 6 - Express,101,9.0,4,60,2025-11-09 18:30:00,2025-11-09 18:30:26.869083252,25.562421684716323,Sunday,5.0,5.0,8.33,0.45,A Tiempo,Tarde,True
2025-11-09 23:22:51.022536,Ruta 2 - Norte,101,6.0,11,40,2025-11-09 23:15:00,2025-11-09 23:17:06.210163092,32.201332234562344,Sunday,-5.0,0.0,0.0,2.1,Retraso Leve,Noche,False
2025-11-10 00:17:51.022536,Ruta 1 - Centro,101,9.0,10,60,2025-11-10 00:15:00,2025-11-10 00:15:14.734451112,25.6307169633399,Monday,-1.0,0.0,0.0,0.25,A Tiempo,Madrugada,False
2025-11-10 05:32:51.022536,Ruta 6 - Express,101,9.0,7,40,2025-11-10 05:30:00,2025-11-10 05:32:00.869209392,23.079416355302627,Monday,2.0,1.0,2.5,2.01,Retraso Leve,Madrugada,False
2025-11-11 01:47:51.022536,Ruta 4 - Este,101,10.0,11,50,2025-11-11 01:45:00,2025-11-11 01:46:17.889085440,22.58383078505232,Tuesday,-1.0,0.0,0.0,1.3,A Tiempo,Madrugada,False
2025-11-11 14:57:51.022536,Ruta 4 - Este,101,11.0,10,40,2025-11-11 14:45:00,2025-11-11 14:47:32.447935349,34.06977889616616,Tuesday,1.0,1.0,2.5,2.54,Retraso Leve,Tarde,False
2025-11-12 09:07:51.022536,Ruta 5 - Oeste,101,7.0,1,40,2025-11-12 09:00:00,2025-11-12 09:01:57.682124796,25.275704595763507,Wednesday,6.0,7.0,17.5,1.96,A Tiempo,Mañana,True
2025-11-13 05:22:51.022536,Ruta 1 - Centro,101,3.0,5,60,2025-11-13 05:15:00,2025-11-13 05:16:15.524317842,25.123762181835875,Thursday,-2.0,5.0,8.33,1.26,A Tiempo,Madrugada,False
2025-11-13 07:07:51.022536,Ruta 6 - Express,101,5.0,6,50,2025-11-13 07:00:00,2025-11-13 07:01:02.731260768,27.414082238763097,Thursday,-1.0,4.0,8.0,1.05,A Tiempo,Mañana,True
2025-11-13 11:47:51.022536,Ruta 3 - Sur,101,9.0,4,40,2025-11-13 11:45:00,2025-11-13 11:45:46.221178794,32.075805610606906,Thursday,5.0,9.0,22.5,0.77,A Tiempo,Mañana,False
2025-11-13 17:17:51.022536,Ruta 2 - Norte,101,10.0,5,50,2025-11-13 17:15:00,2025-11-13 17:20:42.294320238,23.55980544069703,Thursday,5.0,14.0,28.0,5.7,Retraso Grave,Tarde,True
2025-11-13 19:52:51.022536,Ruta 4 - Este,101,12.0,7,60,2025-11-13 19:45:00,2025-11-13 19:51:36.734014044,29.33364333943973,Thursday,5.0,19.0,31.67,6.61,Retraso Grave,Noche,True
